name,email,password,prosjek,ects,godstud,ects_pgod,prosjek_pgod
Lane Carson,aliquet.lobortis.nisi@outlook.edu,ISS09INY8DC,6.29,118,3,60,6.29
Karleigh Hodge,vivamus.rhoncus@hotmail.org,XBX25FKR4WA,6.4,110,3,54,6.4
Geoffrey Johnston,quisque.libero@google.net,UYW25DPI4IU,6.51,117,5,47,6.51
Harrison Pratt,nam.tempor@hotmail.com,WUM38QZV2SS,6.62,115,3,46,6.62
Alyssa Henry,varius.orci.in@yahoo.edu,IBU25CMF0MV,6.73,116,3,56,6.73
Vincent Holloway,suspendisse.sed@icloud.net,NTE62LPF5SH,6.84,105,4,54,6.84
Kiayada Webb,quis@yahoo.ca,QQS51XBJ4ZG,6.95,110,2,54,6.95
Tanek Spears,morbi.neque@google.org,KDP41UTR8AS,7.06,110,5,56,7.06
Ivor Trevino,malesuada.vel.convallis@aol.ca,HJS75PAU5UX,7.17,116,5,52,7.17
Leslie Bailey,duis.a@yahoo.edu,HNP88FQM9RM,7.28,103,5,56,7.28
Reese Byrd,cras.dolor@icloud.net,IKJ86UAR1LH,7.39,107,3,48,7.39
Julie Duncan,cras@protonmail.edu,MFM03SFL2UG,7.5,119,5,47,7.5
Sopoline Mccarthy,sodales.elit.erat@outlook.net,VXJ21VUW3VO,7.61,107,4,45,7.61
Echo Hendrix,donec.fringilla@aol.com,XVJ56FKY7LC,7.72,113,4,47,7.72
Summer Moody,sollicitudin@outlook.com,YOR94QUH6BJ,7.83,105,4,51,7.83
Eagan Manning,mauris@icloud.com,SWQ82CQU4YE,7.94,109,4,45,7.94
Byron Meyers,urna.nunc@icloud.ca,NVG21TWU5MT,8.05,114,5,52,8.05
Mollie Dillon,mus.proin.vel@protonmail.org,GYM22XVI0NN,8.16,112,5,60,8.16
Morgan Baxter,arcu.vestibulum@google.com,XEA83FLO5PX,8.27,113,3,52,8.27
Allen Hicks,amet.luctus@google.net,JGZ57ELV9AK,8.379999999999999,116,3,46,8.379999999999999
Charles Aguirre,et.rutrum.eu@yahoo.edu,QZC49ZBO0WO,8.49,101,5,58,8.49
Barry Dodson,bibendum@outlook.ca,JRK86QYZ8PD,8.6,105,3,57,8.6
Prescott Wright,massa.quisque@google.net,BUZ71VJH8TQ,8.71,118,4,60,8.71
Halee Callahan,semper.rutrum@google.ca,GNE56MWU7TX,8.82,111,3,46,8.82
Ciara Buckley,tincidunt.adipiscing.mauris@aol.ca,ERL34ASF7MR,8.93,105,4,59,8.93
Kiayada Knowles,cras@hotmail.net,LQJ44XIN0FX,9.04,105,4,54,9.04
Kirk Gillespie,placerat.augue@outlook.org,LSO69REJ5NB,9.15,107,5,48,9.15
Paula Irwin,rutrum.non@protonmail.couk,YFK23EGF1LV,9.26,103,3,46,9.26
Ursula Tucker,ante.blandit@google.net,QFX87FZM2VL,9.370000000000001,109,5,60,9.370000000000001
Preston Walter,arcu.vestibulum.ante@outlook.com,YOT41GYV4UV,9.48,106,4,49,9.48
Dahlia Cabrera,purus.accumsan@hotmail.couk,AMK05VJX7VK,9.59,116,4,56,9.59
Cameron Reid,sem@outlook.com,DJQ41IHI5SX,9.7,108,3,58,9.7
Beau Butler,nibh.quisque@google.org,HQP53LLW2YH,9.809999999999999,116,2,55,9.809999999999999
Silas Skinner,eget.metus.in@outlook.com,VSH98LCZ3ZM,9.92,118,4,46,9.92
Malcolm Schroeder,luctus.et@protonmail.org,TKV33XNS2YU,10.03,115,2,54,10.03
Laura Olsen,sed.pede@aol.org,DQN69CJD7VL,10.14,105,5,53,10.14
Honorato Cantrell,at.sem@aol.net,FFS07TCM1BM,10.25,119,3,49,10.25
Isadora Brown,elit.etiam.laoreet@aol.edu,NUP50FCJ7AO,10.36,112,4,48,10.36
Judith Thompson,vivamus.molestie@yahoo.net,XJJ70TIU3GW,10.47,109,4,56,10.47
Eliana Vinson,non.enim.commodo@outlook.net,SIG53XMC5EF,10.58,118,3,49,10.58
Jemima Johnson,risus.quis.diam@aol.ca,MIJ84OGQ2YR,10.69,113,2,53,10.69
Wyatt Frazier,auctor.velit@protonmail.org,WHY18JCG5YA,10.8,106,4,60,10.8
Anthony Grant,ut@icloud.couk,QPM54LQD2WH,10.91,102,3,45,10.91
Cain Jenkins,rutrum@google.net,GPX10GRW2KJ,11.02,120,2,55,11.02
Eliana Dyer,vivamus.euismod@icloud.couk,FJE83PHF6OQ,11.13,110,3,45,11.13
Allen Pierce,vel@google.couk,XQB31UYP3KL,11.24,117,3,48,11.24
Sierra Good,in@icloud.net,ITF26EIB3BX,11.35,118,3,55,11.35
Colin Shepherd,parturient.montes.nascetur@outlook.couk,BMC53SXR3OR,11.46,117,3,58,11.46
Hollee Rhodes,ante@hotmail.net,KHR46FFP4QT,11.57,111,4,54,11.57
Paki Kemp,a@aol.com,QTN62TYZ1JE,11.68,104,5,59,11.68
Maisie Ruiz,mollis.integer.tincidunt@hotmail.ca,LOM77RRE3MJ,11.790000000000001,112,2,55,11.790000000000001
Carolyn Christensen,integer@outlook.org,MYH78QLE2VF,11.9,102,3,58,11.9
Ria Dawson,curabitur@outlook.edu,AXD53KVD4PL,12.01,102,4,54,12.01
Amena Stafford,id.blandit@aol.com,GEC48ODN5CY,12.12,117,2,47,12.12
Drew Shaw,nec.metus@outlook.edu,QFH86IKP5DL,12.23,108,5,51,12.23
Macy Gates,dolor@aol.com,AMM75PGP5MC,12.34,119,3,59,12.34
Wesley Patton,ut.nulla@icloud.com,VJZ44MDO5HL,12.45,108,5,57,12.45
Buffy Dillon,sed.eu.eros@google.com,FGE66PLL6JT,12.56,106,3,48,12.56
Abraham Hancock,feugiat.nec@icloud.ca,IJE30UJH6FY,12.67,103,3,50,12.67
Naida Finley,urna.vivamus.molestie@icloud.com,MQQ92YKB1EN,12.78,114,3,45,12.78
Benedict Greene,dictum.phasellus.in@outlook.com,ZWN37IMV5ML,12.89,116,4,51,12.89
Victor Little,tincidunt.congue@yahoo.net,XJB06EYZ7ZV,13,115,3,52,13
Cairo Chapman,sodales.mauris@google.net,DFE65PBA6VX,13.11,115,5,47,13.11
Phelan Myers,risus.a@icloud.net,WFB51KIB2UI,13.22,114,3,49,13.22
Christine Valentine,maecenas.malesuada.fringilla@aol.org,EWG65QSQ7KU,13.33,105,4,49,13.33
Anika Lynch,vitae.purus@icloud.net,XJI13HHJ1YL,13.44,107,5,47,13.44
Skyler Herman,cras.convallis@icloud.org,BDX13PLM5TN,13.55,120,3,52,13.55
Ira Lamb,faucibus@icloud.ca,UVN67OEE9YP,13.66,100,3,48,13.66
Kareem Robles,sit.amet@aol.net,AAR16NZT3GV,13.77,112,2,48,13.77
Mollie Elliott,nam@icloud.org,IFP64JHW9RO,13.88,110,3,48,13.88
Cedric Petersen,quis.pede@protonmail.com,WXC97TDI7SK,13.99,108,4,50,13.99
Dylan Cummings,nec.enim.nunc@hotmail.com,QCJ22KOD7KO,14.1,109,3,51,14.1
Adele Deleon,molestie.arcu.sed@icloud.com,CQT42LDD1WR,14.21,118,4,58,14.21
Piper Bowers,donec.egestas.duis@yahoo.net,XRA64LHT9VG,14.32,110,3,45,14.32
Kelsie Livingston,sem@outlook.couk,CHX43TBW3IP,14.43,100,5,48,14.43
Celeste Solis,fames@yahoo.org,VOQ82RMJ5CT,14.540000000000001,113,2,60,14.540000000000001
Abigail Clements,aliquet.metus.urna@outlook.ca,PIW62PXK1DM,14.65,108,5,52,14.65
Lester Weeks,orci.ut@icloud.net,RUX59MYT2EW,14.76,105,5,60,14.76
Thomas Cunningham,augue@icloud.com,NXI86FQY3YK,14.87,116,4,56,14.87
Aurora Hubbard,cum.sociis@google.org,VBF72XTP6RG,14.98,103,4,50,14.98
Ariel Mckinney,pede.praesent@outlook.couk,QIX42HNX5YQ,15.09,102,5,51,15.09
Adria Oneil,non.justo@aol.couk,JBS43LEO4CZ,15.2,116,4,59,15.2
Bruno Mcpherson,dolor.sit@yahoo.org,YET21EPJ1LY,15.31,114,2,55,15.31
Felix Velasquez,tincidunt.neque@icloud.couk,TDZ58EJL6HX,15.42,103,2,59,15.42
Reed Bird,donec@aol.edu,ITX85LBT6JM,15.53,103,5,55,15.53
Britanni Gilbert,scelerisque.neque.sed@hotmail.edu,UCF14QOJ3VI,15.64,119,4,45,15.64
Maia Valencia,ante@aol.couk,LOV98MBE4DN,15.75,102,2,52,15.75
Noelle French,eleifend@aol.couk,LQJ37UJD5WP,15.86,109,3,48,15.86
Coby Long,semper.cursus@hotmail.ca,FLN28CRD4RW,15.97,119,4,59,15.97
Jason O'brien,cras.vehicula@aol.couk,VXX35TGT4LX,16.08,117,5,54,16.08
Cruz Morin,ante.bibendum@outlook.org,ETD51ZTU2FC,16.189999999999998,114,5,56,16.189999999999998
Maile Green,dolor.dolor.tempus@aol.couk,XRG79BIU6KM,16.3,111,5,50,16.3
Macey Middleton,non.massa.non@aol.edu,PCU85GGW2AD,16.41,117,4,51,16.41
Leonard Bradshaw,nec.eleifend.non@protonmail.net,PQX39OKV0GB,16.52,108,4,53,16.52
Christian Cobb,sit@yahoo.ca,LAV35CAA4YV,16.630000000000003,101,4,46,16.630000000000003
Laura Padilla,urna@protonmail.com,IKI47HTM7OL,16.740000000000002,101,2,51,16.740000000000002
Alma Duncan,mi.felis@google.org,WJD65CPP3UE,16.85,119,4,55,16.85
Whilemina Tate,nulla.integer@protonmail.edu,TWX67TRC5LI,16.96,113,3,50,16.96
Christian Frye,sagittis.placerat.cras@hotmail.net,IHI84BWL8BN,17.07,112,4,60,17.07
Hunter Osborn,sit@yahoo.couk,TXG70QJZ7HP,17.18,104,3,48,17.18
Kenyon Berger,felis.ullamcorper@aol.ca,VHS68ZWC0SK,17.29,112,5,48,17.29
Prescott Wells,dictum.augue@protonmail.ca,YRD11BZQ7NB,17.4,110,4,59,17.4
Brent Pruitt,morbi@yahoo.com,YVP89USJ4CB,17.509999999999998,109,3,58,17.509999999999998
Virginia Gibson,ipsum@yahoo.net,WRU66XQT2JN,17.619999999999997,118,3,46,17.619999999999997
Renee Hutchinson,scelerisque.neque.nullam@outlook.edu,GWP38PHO9RT,17.73,113,4,59,17.73
Barrett Walls,parturient@google.com,SUV46SLI8BK,17.84,120,3,54,17.84
Stacy Arnold,mauris.aliquam@icloud.com,MCM58DET0DI,17.95,110,3,54,17.95
Felicia Riggs,ligula@yahoo.couk,EOL71NAR2NL,18.06,119,4,45,18.06
Imogene Morrison,pede.malesuada@hotmail.net,OCQ23CVF4YJ,18.17,118,4,57,18.17
Vivian Garrison,enim.nec@outlook.edu,YYW41STJ2GP,18.28,104,4,54,18.28
Guy Mayer,mattis.velit.justo@yahoo.edu,LTU87DGC1FS,18.39,113,4,50,18.39
Hilary Mercer,sed.id@google.edu,SUF38DIY0OZ,18.5,102,4,56,18.5
Destiny Mcbride,amet@protonmail.ca,PWS83XNH8GU,18.61,101,3,47,18.61
Jonas Sutton,vivamus@protonmail.com,FTN65HJW6SO,18.72,106,3,47,18.72
Joseph Neal,fermentum.convallis.ligula@yahoo.net,RJK76UBI6TH,18.830000000000002,118,4,45,18.830000000000002
Darrel William,quis.urna@google.couk,QQN59UVW5CT,18.94,117,4,56,18.94
Echo Villarreal,facilisis.suspendisse.commodo@icloud.org,CYM76IOY8GK,19.05,111,2,50,19.05
Yvette Potter,posuere.vulputate.lacus@yahoo.couk,XBH72LOF9GZ,19.16,117,4,59,19.16
Neville Bullock,dolor.donec.fringilla@google.com,FPP87XPW9FV,19.27,101,4,58,19.27
Cheryl Stevenson,a.ultricies.adipiscing@outlook.couk,HTR34TPV3LO,19.38,117,4,51,19.38
Julie Bean,mi.ac@outlook.org,UBS68JPO4BX,19.49,110,3,46,19.49
Lee Shields,orci.in@outlook.com,LMK01WOO2MC,19.6,119,3,54,19.6
Shaine Beach,sed.nunc.est@google.edu,GDN63BTI9KR,19.71,109,5,56,19.71
Charissa Rich,magna.nec@google.org,LRS93PNL0NH,19.82,107,4,47,19.82
Leroy Pate,amet.consectetuer.adipiscing@protonmail.com,THV95XPX9YN,19.93,103,4,46,19.93
Joelle Simmons,fringilla.donec@yahoo.com,FKU85KXC7IB,20.04,102,2,58,20.04
Isabella Mcintyre,ut.odio@yahoo.couk,UJQ58GWR9IT,20.15,102,3,51,20.15
Hope Carter,vel@outlook.com,TYZ19SLM5KD,20.26,103,3,48,20.26
Cooper Whitney,tristique.senectus.et@outlook.couk,WHH65VYJ0XA,20.37,112,3,47,20.37
Howard Guzman,magna.cras@hotmail.edu,HTC54AKH8GY,20.48,102,4,50,20.48
Medge Tanner,nascetur@hotmail.net,EIG03JTS8NI,20.59,112,3,55,20.59
Colin Larsen,quis.arcu.vel@icloud.org,DSJ02LQS0LG,20.7,109,2,59,20.7
Erasmus Hart,aliquam.enim.nec@icloud.edu,GQV16MJQ7FB,20.81,119,4,48,20.81
Kamal Pena,natoque@yahoo.net,SRV71XKW7IG,20.92,116,3,59,20.92
Adam Barrera,sit@hotmail.couk,JOD76QDU1DX,21.03,107,3,53,21.03
Celeste Hammond,nec.leo@outlook.couk,VRG36PPW1TZ,21.14,101,4,54,21.14
Amber Bryan,aliquam.ultrices.iaculis@yahoo.org,TIU56WWU7DV,21.25,101,4,57,21.25
Ciaran Graves,eget.metus@protonmail.com,SSO25LNR3JE,21.36,119,3,50,21.36
Walker Cobb,rutrum@google.couk,FGP86VQE7TB,21.47,104,2,52,21.47
Haviva Townsend,vel.faucibus@google.ca,KLI01GBR5ZA,21.580000000000002,114,4,46,21.580000000000002
Rose Holman,malesuada.augue.ut@outlook.net,FSN47SJZ7DE,21.69,102,4,52,21.69
Roanna Vargas,cursus@yahoo.couk,GSE17BLA2IA,21.8,107,4,53,21.8
Desiree Wooten,eu.dui@hotmail.com,WPM58OUM7TR,21.91,110,4,55,21.91
Heidi Gutierrez,elit.pretium.et@yahoo.org,XAR16PKU7IQ,22.02,115,2,53,22.02
Upton Haynes,mollis.non.cursus@outlook.couk,MKM75XAL8AG,22.13,114,2,55,22.13
Sandra Dean,donec@protonmail.net,QLI52YQT4HU,22.24,112,2,55,22.24
Jackson Hawkins,ultricies.sem@google.edu,MCJ61AJP2IW,22.35,103,2,58,22.35
Griffin Mclean,ultricies.dignissim.lacus@google.edu,DVC39KHT4BU,22.46,105,4,49,22.46
Vivien Fox,arcu@google.ca,ICA55BIQ0OE,22.57,114,5,48,22.57
Donovan Benjamin,cras.convallis.convallis@google.org,IVS28DTV7GX,22.68,112,5,47,22.68
Jackson Strong,orci@protonmail.net,PJU13NVJ8QP,22.79,108,4,54,22.79
Jessamine Booth,hendrerit.consectetuer@hotmail.net,CDQ86RXC4ZQ,22.9,105,3,46,22.9
Jerry Morin,cras@protonmail.ca,QTK97XRH6IM,23.01,106,4,50,23.01
Sara Frost,gravida.molestie.arcu@outlook.couk,HSX19KPS1TC,23.12,114,3,46,23.12
Lenore Joyner,tellus.nunc.lectus@yahoo.com,VIE56EBF8NS,23.23,110,4,47,23.23
Ryan May,sed.sem@protonmail.ca,GGC34YME1SQ,23.34,105,2,56,23.34
Hayes Carrillo,elementum.at@aol.net,DWR25ZRG8EC,23.45,105,4,60,23.45
Maggy Alford,et.magnis@hotmail.com,UYR11VSH8MW,23.56,108,3,52,23.56
Sydnee Morris,id.erat@icloud.ca,MTH87IXP6VY,23.67,111,2,50,23.67
Elvis Rollins,orci@icloud.edu,BMM23DIG3FU,23.78,113,5,59,23.78
Walter Randolph,metus@aol.org,SZC80YSV6OP,23.89,115,4,50,23.89
